Kanji,Level,HanViet,On_Kana,On_Romaji,Kun_Kana,Kun_Romaji,Examples
車,5,Xa,シャ,sha,くるま,kuruma,車 (くるま) [kuruma]: Car; 電車 (でんしゃ) [densha]: Train; 自転車 (じてんしゃ) [jitensha]: Bicycle
手,4,Thủ,"シュ, ズ","shu, zu","て, て-, -て, た-","te, te-, -te, ta-",手 (て) [te]: Hand; 手紙 (てがみ) [tegami]: Letter; 切手 (きって) [kitte]: Stamp
十,5,Thập,"ジュウ, ジッ, ジュッ","juu, jiu, ju","とお, と","too, to",十 (とお) [too]: Ten things; 十月 (じゅうがつ) [juugatsu]: October
出,5,Xuất,"シュツ, スイ","shutsu, sui","で.る, -で, だ.す, -だ.す","deru, -de, dasu, -dasu",出る (でる) [deru]: To exit/appear; 出す (だす) [dasu]: To take out; 外出 (がいしゅつ) [gaishutsu]: Going out
女,5,Nữ,"ジョ, ニョ, ニョウ","jo, nyo, nyou","おんな, め","onna, me",女 (おんな) [onna]: Woman; 彼女 (かのじょ) [kanojo]: She/Girlfriend
小,5,Tiểu,ショウ,shou,"ちい.さい, こ-, お-, さ-","chiisai, ko-, o-, sa-",小さい (ちいさい) [chiisai]: Small; 小学校 (しょうがっこう) [shougakkou]: Elementary school
上,5,Thượng,"ジョウ, ショウ, シャン","jou, shou, shan","うえ, -うえ, うわ-, かみ, あ.げる, あ.がる, のぼ.る","ue, -ue, uwa-, kami, ageru, agaru, noboru",上 (うえ) [ue]: Above/Up; 上手 (じょうず) [jouzu]: Skillful
森,4,Sâm,シン,shin,もり,mori,森 (もり) [mori]: Forest; 森林 (しんりん) [shinrin]: Forest/Woodlands
人,5,Nhân,"ジン, ニン","jin, nin","ひと, -り, -と","hito, -ri, -to",人 (ひと) [hito]: Person; 日本人 (にほんじん) [nihonjin]: Japanese person; 一人 (ひとり) [hitori]: One person
水,5,Thủy,スイ,sui,"みず, みず-","mizu, mizu-",水 (みず) [mizu]: Water; 水曜日 (すいようび) [suiyoubi]: Wednesday
正,3,Chính,"セイ, ショウ","sei, shou","ただ.しい, ただ.す, まさ, まさ.に","tadashii, tadasu, masa, masani",正しい (ただしい) [tadashii]: Correct; 正月 (しょうがつ) [shougatsu]: New Year
生,5,Sinh,"セイ, ショウ","sei, shou","い.きる, い.かす, い.ける, う.まれる, う.む, お.う, は.える, き, なま","ikiru, ikasu, ikeru, umareru, umu, ou, haeru, ki, nama",生きる (いきる) [ikiru]: To live; 先生 (せんせい) [sensei]: Teacher; 学生 (がくせい) [gakusei]: Student
青,4,Thanh,"セイ, ショウ","sei, shou","あお, あお-, あお.い","ao, ao-, aoi",青い (あおい) [aoi]: Blue; 青信号 (あおしんごう) [aoshingou]: Green light
夕,4,Tịch,セキ,seki,ゆう,yuu,夕方 (ゆうがた) [yuugata]: Evening; 七夕 (たなばた) [tanabata]: Star Festival
石,4,Thạch,"セキ, シャク, コク","seki, shaku, koku",いし,ishi,石 (いし) [ishi]: Stone; 化石 (かせき) [kaseki]: Fossil
赤,5,Xích,"セキ, シャク","seki, shaku","あか, あか-, あか.い, あか.らむ, あか.らめる","aka, aka-, akai, akaramu, akarameru",赤い (あかい) [akai]: Red; 赤ちゃん (あかちゃん) [akachan]: Baby
千,5,Thiên,セン,sen,ち,chi,千 (せん) [sen]: Thousand; 三千 (さんぜん) [sanzen]: Three thousand
川,5,Xuyên,セン,sen,かわ,kawa,川 (かわ) [kawa]: River; 小川 (おがわ) [ogawa]: Brook/Stream
先,5,Tiên,セン,sen,さき,saki,先生 (せんせい) [sensei]: Teacher; 先月 (せんげつ) [sengetsu]: Last month
早,4,Tảo,"ソウ, サッ","sou, sa","はや.い, はや.まる, はや.める","hayai, hayamaru, hayameru",早い (はやい) [hayai]: Early/Fast; 早朝 (そうちょう) [souchou]: Early morning
草,4,Thảo,ソウ,sou,くさ,kusa,草 (くさ) [kusa]: Grass; 草花 (くさばな) [kusabana]: Flowering plants
足,4,Túc,ソク,soku,"あし, た.る, た.りる, た.す","ashi, taru, tariru, tasu",足 (あし) [ashi]: Foot/Leg; 足りる (たりる) [tariru]: To be sufficient; 遠足 (えんそく) [ensoku]: Excursion
村,4,Thôn,ソン,son,むら,mura,村 (むら) [mura]: Village; 村長 (そんちょう) [sonchou]: Village chief
大,5,Đại,"ダイ, タイ","dai, tai","おお-, おお.きい","oo-, ookii",大きい (おおきい) [ookii]: Big; 大学 (だいがく) [daigaku]: University
男,5,Nam,"ダン, ナン","dan, nan",おとこ,otoko,男の子 (おとこのこ) [otokonoko]: Boy; 男性 (だんせい) [dansei]: Male
竹,2,Trúc,チク,chiku,たけ,take,竹 (たけ) [take]: Bamboo; 竹の子 (たけのこ) [takenoko]: Bamboo shoot
中,5,Trung,チュウ,chuu,"なか, うち, あた.る","naka, uchi, ataru",中 (なか) [naka]: Inside; 中国 (ちゅうごく) [chuugoku]: China
虫,2,Trùng,チュウ,chuu,むし,mushi,虫 (むし) [mushi]: Insect; 昆虫 (こんちゅう) [konchuu]: Insect/Bug
町,4,Đinh,チョウ,chou,まち,machi,町 (まち) [machi]: Town; 下町 (したまち) [shitamachi]: Downtown
天,5,Thiên,テン,ten,"あまつ, あめ, あま-","amatsu, ame, ama-",天気 (てんき) [tenki]: Weather; 天国 (てんごく) [tengoku]: Heaven
田,4,Điền,デン,den,た,ta,田んぼ (たんぼ) [tanbo]: Rice field; 水田 (すいでん) [suiden]: Paddy field
土,5,Thổ,"ド, ト","do, to",つち,tsuchi,土 (つち) [tsuchi]: Soil/Earth; 土曜日 (どようび) [doyoubi]: Saturday
二,5,Nhị,ニ,ni,"ふた, ふた.つ","futa, futatsu",二つ (ふたつ) [futatsu]: Two things; 二人 (ふたり) [futari]: Two people
日,5,Nhật,"ニチ, ジツ","nichi, jitsu","ひ, -び, -か","hi, -bi, -ka",日曜日 (にちようび) [nichiyoubi]: Sunday; 日本 (にほん) [nihon]: Japan
入,5,Nhập,ニュウ,nyuu,"い.る, -い.る, -い.り, い.れる, -い.れ, は.いる","iru, -iru, -iri, ireru, -ire, hairu",入る (はいる) [hairu]: To enter; 入学 (にゅうがく) [nyuugaku]: School admission
年,5,Niên,ネン,nen,とし,toshi,年 (とし) [toshi]: Year/Age; 来年 (らいねん) [rainen]: Next year
白,5,Bạch,"ハク, ビャク","haku, byaku","しろ, しら-, しろ.い","shiro, shira-, shiroi",白い (しろい) [shiroi]: White; 白鳥 (はくちょう) [hakuchou]: Swan
八,5,Bát,ハチ,hachi,"や, や.つ, やっ.つ, よう","ya, yatsu, yattsu, you",八つ (やっつ) [yattsu]: Eight things; 八月 (はちがつ) [hachigatsu]: August
百,5,Bách,ヒャク,hyaku,もも,momo,百 (ひゃく) [hyaku]: Hundred; 三百 (さんびゃく) [sanbyaku]: Three hundred
文,4,Văn,"ブン, モン","bun, mon","ふみ, あや","fumi, aya",文学 (ぶんがく) [bungaku]: Literature; 作文 (さくぶん) [sakubun]: Composition/Essay
木,5,Mộc,"モク, ボク","moku, boku","き, こ-","ki, ko-",木 (き) [ki]: Tree; 木曜日 (もくようび) [mokuyoubi]: Thursday
本,5,Bản,ホン,hon,もと,moto,本 (ほん) [hon]: Book; 日本 (にほん) [nihon]: Japan
名,5,Danh,"メイ, ミョウ","mei, myou","な, -な","na, -na",名前 (なまえ) [namae]: Name; 有名 (ゆうめい) [yuumei]: Famous
目,4,Mục,"モク, ボク","moku, boku","め, -め, ま-","me, -me, ma-",目 (め) [me]: Eye; 目的 (もくてき) [mokuteki]: Purpose
立,4,Lập,"リツ, リュウ","ritsu, ryuu","た.つ, -た.つ, た.ち-, た.てる, -た.てる, た.て-, たて-","tatsu, -tatsu, tachi-, tateru, -tateru, tate-, tate-",立つ (たつ) [tatsu]: To stand; 国立 (こくりつ) [kokuritsu]: National
力,4,Lực,"リョク, リキ","ryoku, riki",ちから,chikara,力 (ちから) [chikara]: Power; 能力 (のうりょく) [nouryoku]: Ability
林,4,Lâm,リン,rin,はやし,hayashi,林 (はやし) [hayashi]: Woods/Grove; 山林 (さんりん) [sanrin]: Mountain forest
六,5,Lục,ロク,roku,"む, む.つ, むっ.つ, むい","mu, mutsu, muttsu, mui",六つ (むっつ) [muttsu]: Six things; 六百 (ろっぴゃく) [roppyaku]: Six hundred
引,4,Dẫn,イン,in,"ひ.く, ひ.き, ひ.ける","hiku, hiki, hikeru",引く (ひく) [hiku]: To pull; 引用 (いんよう) [inyou]: Quotation
羽,2,Vũ,ウ,u,"は, はね","ha, hane",羽 (はね) [hane]: Feather/Wing; 羽毛 (うもう) [umou]: Down/Feather
雲,2,Vân,ウン,un,くも,kumo,雲 (くも) [kumo]: Cloud; 雨雲 (あまぐも) [amagumo]: Rain cloud
園,2,Viên,エン,en,その,sono,公園 (こうえん) [kouen]: Park; 動物園 (どうぶつえん) [doubutsuen]: Zoo
遠,4,Viễn,"エン, オン","en, on",とお.い,tooi,遠い (とおい) [tooi]: Far; 遠足 (えんそく) [ensoku]: Excursion
何,5,Hà,カ,ka,"なに, なん","nani, nan",何 (なに) [nani]: What; 何時 (なんじ) [nanji]: What time
科,3,Khoa,カ,ka,,,科学 (かがく) [kagaku]: Science; 教科書 (きょうかしょ) [kyoukasho]: Textbook
夏,4,Hạ,"カ, ガ, ゲ","ka, ga, ge",なつ,natsu,夏 (なつ) [natsu]: Summer; 夏休み (なつやすみ) [natsuyasumi]: Summer vacation
家,4,Gia,"カ, ケ","ka, ke","いえ, や","ie, ya",家 (いえ) [ie]: House; 家族 (かぞく) [kazoku]: Family
歌,4,Ca,カ,ka,"うた, うた.う","uta, utau",歌 (うた) [uta]: Song; 歌手 (かしゅ) [kashu]: Singer
画,4,Họa,"ガ, カク","ga, kaku","え, かい, えが.く","e, kai, egaku",映画 (えいが) [eiga]: Movie; 計画 (けいかく) [keikaku]: Plan
回,3,Hồi,"カイ, エ","kai, e","まわ.る, -まわ.る, まわ.す, -まわ.す, まわ.し-, -まわ.し, もとお.る, か.える","mawaru, -mawaru, mawasu, -mawasu, mawashi-, -mawashi, motooru, kaeru",回る (まわる) [mawaru]: To turn/rotate; 一回 (いっかい) [ikkai]: One time
会,4,Hội,"カイ, エ","kai, e","あ.う, あ.わせる, あつ.まる","au, awaseru, atsumaru",会う (あう) [au]: To meet; 会社 (かいしゃ) [kaisha]: Company
海,4,Hải,カイ,kai,うみ,umi,海 (うみ) [umi]: Sea; 海外 (かいがい) [kaigai]: Overseas
絵,4,Hội,カイ,kai,え,e,絵 (え) [e]: Picture; 絵本 (えほん) [ehon]: Picture book
外,5,Ngoại,"ガイ, ゲ","gai, ge","そと, ほか, はず.す, はず.れる, と-","soto, hoka, hazusu, hazureru, to-",外 (そと) [soto]: Outside; 外国人 (がいこくじん) [gaikokujin]: Foreigner
角,3,Giác,カク,kaku,"かど, つの","kado, tsuno",角 (かど) [kado]: Corner; 三角形 (さんかくけい) [sankakukei]: Triangle
楽,4,Lạc,"ガク, ラク, ゴウ","gaku, raku, gou","たの.しい, たの.しむ, この.む","tanoshii, tanoshimu, konomu",楽しい (たのしい) [tanoshii]: Fun; 音楽 (おんがく) [ongaku]: Music
活,3,Hoạt,カツ,katsu,い.きる,ikiru,生活 (せいかつ) [seikatsu]: Life/Living; 活動 (かつどう) [katsudou]: Activity
間,5,Gian,"カン, ケン","kan, ken","あいだ, ま, あい","aida, ma, ai",間 (あいだ) [aida]: Between; 時間 (じかん) [jikan]: Time
丸,5,Hoàn,ガン,gan,まる,maru,丸 (まる) [maru]: Circle; 丸い (まるい) [marui]: Round
岩,3,Nham,ガン,gan,いわ,iwa,岩 (いわ) [iwa]: Rock; 岩石 (がんせき) [ganseki]: Rock/Crag
顔,4,Nhan,ガン,gan,かお,kao,顔 (かお) [kao]: Face; 洗顔 (せんがん) [sengan]: Face washing
汽,4,Khí,キ,ki,,,汽車 (きしゃ) [kisha]: Steam train; 汽船 (きせん) [kisen]: Steamship
記,4,Ký,キ,ki,しる.す,shirusu,日記 (にっき) [nikki]: Diary; 記事 (きじ) [kiji]: Article
帰,4,Quy,キ,ki,かえ.る,kaeru,帰る (かえる) [kaeru]: To return; 帰国 (きこく) [kikoku]: Return to country
弓,2,Cung,キュウ,kyuu,ゆみ,yumi,弓 (ゆみ) [yumi]: Bow (archery); 弓道 (きゅうどう) [kyuudou]: Archery
牛,4,Ngưu,ギュウ,gyuu,うし,ushi,牛 (うし) [ushi]: Cow; 牛肉 (ぎゅうにく) [gyuuniku]: Beef
魚,4,Ngư,ギョ,gyo,"うお, さかな","uo, sakana",魚 (さかな) [sakana]: Fish; 人魚 (にんぎょ) [ningyo]: Mermaid
京,4,Kinh,"キョウ, ケイ","kyou, kei",,,東京 (とうきょう) [toukyou]: Tokyo; 京都 (きょうと) [kyouto]: Kyoto
強,4,Cường,"キョウ, ゴウ","kyou, gou","つよ.い, つよ.まる, つよ.める, し.いる","tsuyoi, tsuyomaru, tsuyomeru, shiiru",強い (つよい) [tsuyoi]: Strong; 勉強 (べんきょう) [benkyou]: Study
教,4,Giáo,キョウ,kyou,"おし.える, おそ.わる","oshieru, osowaru",教える (おしえる) [oshieru]: To teach; 教室 (きょうしつ) [kyoushitsu]: Classroom
近,4,Cận,キン,kin,ちか.い,chikai,近い (ちかい) [chikai]: Near; 近所 (きんじょ) [kinjo]: Neighborhood
兄,4,Huynh,"ケイ, キョウ","kei, kyou",あに,ani,兄 (あに) [ani]: Older brother; 兄弟 (きょうだい) [kyoudai]: Siblings
形,4,Hình,"ケイ, ギョウ","kei, gyou","かた, かたち","kata, katachi",形 (かたち) [katachi]: Shape; 人形 (にんぎょう) [ningyou]: Doll
計,4,Kế,ケイ,kei,"はか.る, はか.らう","hakaru, hakarau",時計 (とけい) [tokei]: Clock/Watch; 計画 (けいかく) [keikaku]: Plan
元,5,Nguyên,"ゲン, ガン","gen, gan",もと,moto,元気 (げんき) [genki]: Healthy; 元旦 (がんたん) [gantan]: New Year's Day
言,4,Ngôn,"ゲン, ゴン","gen, gon","い.う, こと","iu, koto",言う (いう) [iu]: To say; 言葉 (ことば) [kotoba]: Word/Language
原,4,Nguyên,ゲン,gen,はら,hara,原 (はら) [hara]: Field/Meadow; 原因 (げんいん) [genin]: Cause
戸,2,Hộ,コ,ko,と,to,戸 (と) [to]: Door; 雨戸 (あまど) [amado]: Sliding storm door
古,4,Cổ,コ,ko,"ふる.い, ふる.す","furui, furusu",古い (ふるい) [furui]: Old; 中古 (ちゅうこ) [chuuko]: Used/Second-hand
午,5,Ngọ,ゴ,go,,,午後 (ごご) [gogo]: Afternoon; 午前 (ごぜん) [gozen]: Morning
後,5,Hậu,"ゴ, コウ","go, kou","のち, うし.ろ, あと, おく.れる","nochi, ushiro, ato, okureru",後ろ (うしろ) [ushiro]: Behind; その後 (そのあと) [sonoato]: After that
語,5,Ngữ,ゴ,go,"かた.る, かた.らう","kataru, katarau",日本語 (にほんご) [nihongo]: Japanese language; 物語 (ものがたり) [monogatari]: Story
工,4,Công,"コウ, ク","kou, ku",,,工場 (こうじょう) [koujou]: Factory; 工事 (こうじ) [kouji]: Construction
公,4,Công,コウ,kou,おおやけ,ooyake,公園 (こうえん) [kouen]: Park; 公開 (こうかい) [koukai]: Public/Open
広,4,Quảng,コウ,kou,"ひろ.い, ひろ.まる, ひろ.める, ひろ.がる, ひろ.げる","hiroi, hiromaru, hiromeru, hirogaru, hirogeru",広い (ひろい) [hiroi]: Wide/Spacious; 広告 (こうこく) [koukoku]: Advertisement
交,4,Giao,コウ,kou,"まじ.わる, まじ.える, ま.じる, ま.ざる, ま.ぜる, か.う, か.わす","majiwaru, majieru, majiru, mazaru, mazeru, kau, kawasu",交番 (こうばん) [kouban]: Police box; 交通 (こうつう) [koutsuu]: Traffic
光,3,Quang,コウ,kou,"ひか.る, ひかり","hikaru, hikari",光 (ひかり) [hikari]: Light; 日光 (にっこう) [nikkou]: Sunlight
考,4,Khảo,コウ,kou,かんが.える,kangaeru,考える (かんがえる) [kangaeru]: To think; 参考 (さんこう) [sankou]: Reference
行,5,Hành,"コウ, ギョウ, アン","kou, gyou, an","い.く, ゆ.く, おこな.う","iku, yuku, okonau",行く (いく) [iku]: To go; 旅行 (りょこう) [ryokou]: Travel
高,5,Cao,コウ,kou,"たか.い, たか, -だか, たか.まる, たか.める","takai, taka, -daka, takamaru, takameru",高い (たかい) [takai]: High/Expensive; 高校 (こうこう) [koukou]: High school
黄,4,Hoàng,"コウ, オウ","kou, ou","き, こ-","ki, ko-",黄色 (きいろ) [kiiro]: Yellow; 黄金 (おうごん) [ougon]: Gold
合,3,Hợp,"ゴウ, ガッ, カッ","gou, gatsu, katsu","あ.う, -あ.う, あ.い, あ.わせる, -あ.わせる","au, -au, ai, awaseru, -awaseru",合う (あう) [au]: To fit/match; 場合 (ばあい) [baai]: Case/Situation
谷,3,Cốc,コク,koku,たに,tani,谷 (たに) [tani]: Valley; 渓谷 (けいこく) [keikoku]: Canyon
国,5,Quốc,コク,koku,くに,kuni,国 (くに) [kuni]: Country; 外国 (がいこく) [gaikoku]: Foreign country
黒,5,Hắc,コク,koku,"くろ, くろ.い","kuro, kuroi",黒い (くろい) [kuroi]: Black; 黒板 (こくばん) [kokuban]: Blackboard
今,5,Kim,"コン, キン","kon, kin",いま,ima,今 (いま) [ima]: Now; 今日 (きょう) [kyou]: Today
才,4,Tài,サイ,sai,,,天才 (てんさい) [tensai]: Genius; 五才 (ごさい) [gosai]: 5 years old
細,3,Tế,サイ,sai,"ほそ.い, ほそ.る, こま.か, こま.かい","hosoi, hosoru, komaka, komakai",細い (ほそい) [hosoi]: Thin/Slender; 細かい (こまかい) [komakai]: Small/Detailed
作,4,Tác,"サク, サ","saku, sa",つく.る,tsukuru,作る (つくる) [tsukuru]: To make; 作文 (さくぶん) [sakubun]: Composition
算,4,Toán,サン,san,,,計算 (けいさん) [keisan]: Calculation; 算数 (さんすう) [sansuu]: Arithmetic
止,4,Chỉ,シ,shi,"と.まる, -ど.まり, と.める, -と.める, -ど.め, や.める, や.む, -や.む, よ.す","tomaru, -domari, tomeru, -tomeru, -dome, yameru, yamu, -yamu, yosu",止まる (とまる) [tomaru]: To stop; 中止 (ちゅうし) [chuushi]: Cancellation
市,4,Thị,シ,shi,いち,ichi,市 (いち) [ichi]: Market; 都市 (とし) [toshi]: City
矢,2,Thỉ,シ,shi,や,ya,矢 (や) [ya]: Arrow; 矢印 (やじるし) [yajirushi]: Arrow symbol
姉,4,Tỷ,シ,shi,あね,ane,姉 (あね) [ane]: Older sister; 姉妹 (姉妹) [shimai]: Sisters
思,4,Tư,シ,shi,おも.う,omou,思う (おもう) [omou]: To think; 思い出 (おもいで) [omoide]: Memory
紙,4,Chỉ,シ,shi,かみ,kami,紙 (かみ) [kami]: Paper; 手紙 (てがみ) [tegami]: Letter
寺,2,Tự,ジ,ji,てら,tera,寺 (てら) [tera]: Temple; お寺 (おてら) [otera]: Temple (polite)
自,4,Tự,"ジ, シ","ji, shi","みずか.ら, おの.ずから, おの.ずと","mizukara, onozukara, onozuto",自分 (じぶん) [jibun]: Oneself; 自由 (じゆう) [jiyuu]: Freedom
室,4,Thất,シツ,shitsu,むろ,muro,教室 (きょうしつ) [kyoushitsu]: Classroom; 室内 (しつない) [shitsunai]: Indoor
社,4,Xã,シャ,sha,やしろ,yashiro,会社 (かいしゃ) [kaisha]: Company; 神社 (じんじゃ) [jinja]: Shrine
弱,4,Nhược,ジャク,jaku,"よわ.い, よわ.る, よわ.まる, よわ.める","yowai, yowaru, yowamaru, yowameru",弱い (よわい) [yowai]: Weak; 弱点 (じゃくてん) [jakuten]: Weakness
首,3,Thủ,シュ,shu,くび,kubi,首 (くび) [kubi]: Neck; 首相 (しゅしょう) [shushou]: Prime Minister
秋,4,Thu,シュウ,shuu,あき,aki,秋 (あき) [aki]: Autumn; 秋分 (しゅうぶん) [shuubun]: Autumn Equinox
週,4,Chu,シュウ,shuu,,,今週 (こんしゅう) [konshuu]: This week; 週末 (しゅうまつ) [shuumatsu]: Weekend
春,4,Xuân,シュン,shun,はる,haru,春 (はる) [haru]: Spring; 青春 (せいしゅん) [seishun]: Youth
書,5,Thư,ショ,sho,か.く,kaku,書く (かく) [kaku]: To write; 図書館 (としょかん) [toshokan]: Library
少,4,Thiểu,ショウ,shou,"すく.ない, すこ.し","sukunai, sukoshi",少ない (すくない) [sukunai]: Few; 少し (すこし) [sukoshi]: A little
場,4,Trường,ジョウ,jou,ば,ba,場所 (ばしょ) [basho]: Place; 工場 (こうじょう) [koujou]: Factory
色,4,Sắc,"ショク, シキ","shoku, shiki",いろ,iro,色 (いろ) [iro]: Color; 特色 (とくしょく) [tokushoku]: Characteristic
食,5,Thực,"ショク, ジキ","shoku, jiki","た.べる, く.う, く.らう, く.らわす","taberu, kuu, kurau, kurawasu",食べる (たべる) [taberu]: To eat; 食事 (しょくじ) [shokuji]: Meal
心,4,Tâm,シン,shin,"こころ, -ごころ","kokoro, -gokoro",心 (こころ) [kokoro]: Heart; 安心 (あんしん) [anshin]: Relief
新,4,Tân,シン,shin,"あたら.しい, あら.た, あら-, にい-","atarashii, arata, ara-, nii-",新しい (あたらしい) [atarashii]: New; 新聞 (しんぶん) [shinbun]: Newspaper
親,4,Thân,シン,shin,"おや, おや-, した.しい, した.しむ","oya, oya-, shitashii, shitashimu",親 (おや) [oya]: Parent; 親しい (したしい) [shitashii]: Intimate
図,4,Đồ,"ズ, ト","zu, to","え, はか.る","e, hakaru",地図 (ちず) [chizu]: Map; 図書館 (としょかん) [toshokan]: Library
数,3,Số,"スウ, ス","suu, su","かず, かぞ.える, しばしば","kazu, kazoeru, shibashiba",数 (かず) [kazu]: Number; 数字 (すうじ) [suuji]: Number/Digit
西,5,Tây,"セイ, サイ","sei, sai",にし,nishi,西 (にし) [nishi]: West; 西洋 (せいよう) [seiyou]: The West
声,4,Thanh,"セイ, ショウ","sei, shou","こえ, こわ-","koe, kowa-",声 (こえ) [koe]: Voice; 大声 (おおごえ) [oogoe]: Loud voice
星,2,Tinh,"セイ, ショウ","sei, shou","ほし, -ぼし","hoshi, -boshi",星 (ほし) [hoshi]: Star; 星座 (せいざ) [seiza]: Constellation
晴,3,Tình,セイ,sei,"は.れる, は.れ, は.らす, -ば.れ","hareru, hare, harasu, -bare",晴れ (はれ) [hare]: Sunny weather; 晴天 (せいてん) [seiten]: Fine weather
切,4,Thiết,"セツ, サイ","setsu, sai","き.る, -き.る, き.り, -き.り, -ぎ.り, き.れる, -き.れる, き.れ, -き.れ","kiru, -kiru, kiri, -kiri, -giri, kireru, -kireru, kire, -kire",切る (きる) [kiru]: To cut; 大切 (たいせつ) [taisetsu]: Important
